,name,DepositsAndShort-termFinancing,CAR,InterestIncome,NIM
356,HSBC BANK (RR) LLC 2019,1017285.0,22.6,59641.0,3.27
357,ASIAN-PACIFIC BANK (JOINT STOCK COMPANY) 2018,1006887.0,9.24,147663.0,7.12
358,DEUTSCHE BANK LLC 2017,980991.0,21.0,48836.0,4.42
360,DEUTSCHE BANK LLC 2018,968553.0,26.1,46912.0,5.81
361,HSBC BANK (RR) LLC 2016,775138.0,19.3,54578.0,2.34
363,CLOSED JOINT STOCK COMPANY LOCKO-BANK 2018,945190.0,22.7,136551.0,7.28
365,HSBC BANK (RR) LLC 2018,874563.0,22.9,55415.0,3.01
366,BANK SOYUZ 2020,979348.0,13.49,103173.0,4.38
367,OPEN JOINT-STOCK SOCIAL COMMERCIAL BANK OF PRIMORYE 'PRIMSOTSBANK' 2013,1041541.0,10.8,134733.0,6.69
369,SDM BANK PJSC 2013,961009.0,17.62,92233.0,5.49
371,OPEN JOINT-STOCK COMPANY 'ROSGOSSTRAKH BANK' 2020,874150.0,15.55,67652.0,6.69
373,METALLINVESTBANK 2016,894937.0,13.7,107237.0,4.24
374,HSBC BANK (RR) LLC 2015,549873.0,21.3,46623.0,0.71
375,HSBC BANK (RR) LLC 2020,923907.0,32.8,29680.0,2.79
376,NOVOSIBIRSK SOCIAL COMMERCIAL BANK 'LEVOBEREZHNY' OJSC 2019,951470.0,12.61,126221.0,9.23
377,DEUTSCHE BANK LLC 2016,783450.0,18.5,43685.0,1.99
381,BANK ICBC JOINT STOCK COMPANY 2020,776758.0,34.5,31412.0,2.24
382,SDM BANK PJSC 2012,941542.0,17.41,84626.0,5.94
383,BBR BANK CLOSED JOINT STOCK COMPANY 2019,880409.0,11.4,82833.0,5.44
384,OPEN JOINT-STOCK SOCIAL COMMERCIAL BANK OF PRIMORYE 'PRIMSOTSBANK' 2020,906742.0,12.6,82544.0,5.95
386,COMMERZBANK (EURASIJA) 2020,871160.0,27.31,28209.0,2.15
387,BANK ICBC JOINT STOCK COMPANY 2014,924689.0,13.7,17898.0,1.56
389,OPEN JOINT-STOCK SOCIAL COMMERCIAL BANK OF PRIMORYE 'PRIMSOTSBANK' 2019,867264.0,12.2,98555.0,6.12
390,EVROFINANCE MOSNARBANK OAO 2019,819129.0,28.42,54422.0,3.37
392,BANK OF CHINA (RUSSIA) 2020,764016.0,48.2,17965.0,2.54
394,NOVOSIBIRSK SOCIAL COMMERCIAL BANK 'LEVOBEREZHNY' OJSC 2020,849595.0,13.64,87237.0,6.23
395,SDM BANK PJSC 2017,865180.0,19.92,80985.0,6.0
396,METALLINVESTBANK 2015,834617.0,12.6,96423.0,3.06
397,COMMERZBANK (EURASIJA) 2019,796310.0,23.99,32194.0,1.95
398,COMMERCIAL BANK NATIONAL STANDARD 2014,800102.0,17.7,79417.0,2.63
401,COMMERZBANK (EURASIJA) 2018,779083.0,24.58,26296.0,2.9
402,SDM BANK PJSC 2018,840753.0,16.37,64871.0,4.73
403,EVROFINANCE MOSNARBANK OAO 2018,795470.0,26.84,56803.0,3.88
404,BANK ICBC JOINT STOCK COMPANY 2019,633782.0,37.9,39074.0,1.88
405,BANK ICBC JOINT STOCK COMPANY 2015,849266.0,17.1,24397.0,1.52
406,BANK SGB OJSC 2019,843057.0,13.2,72825.0,4.09
409,BANK SGB OJSC 2012,815005.0,11.97,80112.0,6.2
410,BANK ICBC JOINT STOCK COMPANY 2018,627920.0,36.4,38407.0,3.26
411,CHELINDBANK GROUP 2019,717829.0,18.4,86272.0,6.84
413,OPEN JOINT-STOCK SOCIAL COMMERCIAL BANK OF PRIMORYE 'PRIMSOTSBANK' 2017,791478.0,12.2,99290.0,8.75
414,BANK SGB OJSC 2017,824915.0,11.9,70554.0,4.73
415,SDM BANK PJSC 2016,757504.0,19.82,71496.0,5.29
416,BANK SGB OJSC 2013,782035.0,12.52,78334.0,6.44
417,BANK SGB OJSC 2020,794749.0,15.4,50147.0,3.42
418,PJSC POST BANK 2015,668103.0,21.35,163328.0,12.62
419,CHELINDBANK GROUP 2017,671017.0,19.4,92058.0,8.3
420,NOVOSIBIRSK SOCIAL COMMERCIAL BANK 'LEVOBEREZHNY' OJSC 2017,726463.0,14.52,99943.0,8.97
421,OPEN JOINT-STOCK SOCIAL COMMERCIAL BANK OF PRIMORYE 'PRIMSOTSBANK' 2018,727103.0,12.0,82526.0,7.17
422,BANK ICBC JOINT STOCK COMPANY 2017,550061.0,37.8,40432.0,3.86
424,NOVOSIBIRSK SOCIAL COMMERCIAL BANK 'LEVOBEREZHNY' OJSC 2018,708413.0,14.79,84199.0,8.24
425,LIMITED LIABILITY COMPANY MEDICAL COMMERCIAL BANK 'AVERS' 2014,505998.0,40.0,54914.0,4.32
426,EVROFINANCE MOSNARBANK OAO 2014,632493.0,23.2,48380.0,3.58
427,BANK ICBC JOINT STOCK COMPANY 2016,678593.0,20.3,46765.0,3.88
428,KEB HNB BANK LLC 2020,739031.0,26.6,15743.0,1.48
430,COMMERCIAL BANK ENERGOTRANSBANK ZAO 2019,680239.0,17.0,47629.0,4.97
431,SDM BANK PJSC 2014,667609.0,14.69,57555.0,4.82
432,JOINT-STOCK COMMERCIAL BANK SAROVBUSINESSBANK 2019,638284.0,17.8,57398.0,4.48
433,JOINT-STOCK COMMERCIAL MORTGAGE BANK AKIBANK 2013,647290.0,15.57,72339.0,4.73
436,CHELINDBANK GROUP 2020,593159.0,19.4,67647.0,6.54
438,BANK SGB OJSC 2018,704908.0,12.1,66971.0,5.21
441,EVROFINANCE MOSNARBANK OAO 2016,549114.0,29.63,50660.0,4.68
442,JOINT-STOCK COMMERCIAL BANK SAROVBUSINESSBANK 2017,624040.0,22.4,68110.0,6.37
443,CHELINDBANK GROUP 2018,587422.0,19.5,73743.0,7.29
444,CHELINDBANK GROUP 2016,572344.0,19.3,88333.0,8.44
447,BANK ICBC JOINT STOCK COMPANY 2013,550427.0,19.77,16110.0,1.98
448,OPEN JOINT-STOCK COMPANY 'ROSGOSSTRAKH BANK' 2019,537756.0,30.0,67107.0,3.16
451,OPEN JOINT-STOCK SOCIAL COMMERCIAL BANK OF PRIMORYE 'PRIMSOTSBANK' 2016,635396.0,15.21,90371.0,9.83
452,ARES BANK 2019,662981.0,17.3,29515.0,3.04
454,COMMERCIAL BANK ENERGOTRANSBANK ZAO 2018,619939.0,17.7,39777.0,6.59
456,INTERPROGRESSBANK CJSC 2017,602224.0,16.48,75496.0,5.87
457,BANK SOLIDARNOST 2020,503250.0,29.7,43908.0,3.54
459,UNITED CAPITAL (JOINT-STOCK BANK) 2020,572369.0,26.1,27134.0,1.44
460,BANK OF CHINA (RUSSIA) 2019,513745.0,33.8,25300.0,3.7
461,BMW BANK LLC 2013,554327.0,14.5,82587.0,6.21
462,SDM BANK PJSC 2015,589120.0,15.24,56220.0,5.37
463,CHELINDBANK GROUP 2014,512106.0,20.3,72108.0,8.39
464,INTERPROGRESSBANK CJSC 2016,573067.0,15.2,73054.0,5.41
465,"CJSC ""RN BANK 2014",527684.0,22.7,35743.0,5.67
466,BANK OF CHINA (RUSSIA) 2014,601067.0,16.7,6634.0,1.25
467,UNITED CAPITAL (JOINT-STOCK BANK) 2019,534354.0,29.8,33383.0,1.68
468,COMMERZBANK (EURASIJA) 2017,429548.0,28.51,28946.0,3.48
471,JOINT-STOCK COMMERCIAL BANK SAROVBUSINESSBANK 2016,538015.0,22.3,66300.0,7.12
472,JOINT-STOCK COMMERCIAL BANK SAROVBUSINESSBANK 2018,534110.0,21.8,50938.0,5.43
473,FAR EASTERN BANK OAO 2018,497911.0,20.66,54057.0,6.61
474,UNITED CAPITAL (JOINT-STOCK BANK) 2017,529402.0,21.4,33702.0,1.8
475,OPEN JOINT-STOCK SOCIAL COMMERCIAL BANK OF PRIMORYE 'PRIMSOTSBANK' 2014,563275.0,15.47,74762.0,7.79
476,INTERPROGRESSBANK CJSC 2014,522962.0,17.6,55700.0,4.47
477,COMMERCIAL BANK KOLTSO URALA OOO 2014,555107.0,12.4,83836.0,8.74
478,UNITED CAPITAL (JOINT-STOCK BANK) 2018,524718.0,20.1,34693.0,2.19
480,JOINT-STOCK COMMERCIAL BANK SAROVBUSINESSBANK 2014,514150.0,16.9,56399.0,6.1
481,JOINT-STOCK COMPANY 'BYSTROBANK' 2017,529727.0,14.1,85960.0,10.76
482,BANK SGB OJSC 2016,553363.0,10.8,53588.0,5.64
483,DERZHAVA JSCB 2019,411699.0,11.16,36009.0,3.87
484,COMMERCIAL BANK KOLTSO URALA OOO 2019,492403.0,19.0,44402.0,4.55
486,INTERPROGRESSBANK CJSC 2015,507099.0,16.4,68862.0,7.29
488,BMW BANK LLC 2018,492721.0,11.3,55460.0,5.48
490,PJSC 'PLUS-BANK 2016,513121.0,10.2,83168.0,10.01
491,EVROFINANCE MOSNARBANK OAO 2020,399835.0,30.25,36783.0,3.82
492,BMW BANK LLC 2017,490336.0,13.8,55227.0,5.69
493,CHELINDBANK GROUP 2015,431838.0,18.4,66771.0,6.91
494,FAR EASTERN BANK OAO 2019,400640.0,27.14,48253.0,4.88
495,CREDIT URAL BANK 2017,473316.0,14.9,43483.0,5.86
496,BANK OF CHINA (RUSSIA) 2018,424605.0,27.28,25015.0,5.35
497,OPEN JOINT-STOCK SOCIAL COMMERCIAL BANK OF PRIMORYE 'PRIMSOTSBANK' 2015,486681.0,16.34,64789.0,7.41
498,PUBLIC JOINT-STOCK COMMERCIAL BANK PRIMORYE 2019,481513.0,11.65,24727.0,0.65
499,INTERPROGRESSBANK CJSC 2019,440860.0,22.0,59443.0,6.54
500,INTERPROGRESSBANK CJSC 2018,452679.0,17.2,60379.0,7.02
502,CREDIT URAL BANK 2019,442877.0,14.0,44083.0,6.11
503,COMMERCIAL BANK KOLTSO URALA OOO 2017,448385.0,23.9,49329.0,6.93
504,NOVOSIBIRSK SOCIAL COMMERCIAL BANK 'LEVOBEREZHNY' OJSC 2015,477114.0,12.4,65077.0,6.89
505,ARES BANK 2020,482790.0,14.19,25710.0,3.55
506,COMMERCIAL BANK KOLTSO URALA OOO 2020,444107.0,19.1,34446.0,4.14
507,FAR EASTERN BANK OAO 2020,378232.0,30.06,29425.0,4.97
508,JOINT-STOCK COMPANY 'BYSTROBANK' 2018,471221.0,13.0,69923.0,9.5
509,BANK SOLIDARNOST 2019,431961.0,28.9,40931.0,3.06
510,PJSC 'PLUS-BANK 2017,442087.0,12.4,94830.0,10.06
511,PETERSBURG SOCIAL COMMERCIAL BANK 2020,466241.0,15.5,18969.0,3.41
512,COMMERCIAL BANK NATIONAL STANDARD 2018,354981.0,24.91,43491.0,4.86
513,COMMERCIAL BANK ENERGOTRANSBANK ZAO 2020,423254.0,21.6,29451.0,3.31
514,MIR BUSINESS BANK ZAO 2017,418148.0,23.0,20990.0,3.62
515,PETERSBURG SOCIAL COMMERCIAL BANK 2019,453421.0,21.2,25056.0,4.77
516,BANK OF CHINA (RUSSIA) 2017,365244.0,42.8,25152.0,6.12
517,PETERSBURG SOCIAL COMMERCIAL BANK 2013,431028.0,14.61,35704.0,4.73
519,CREDIT URAL BANK 2020,423525.0,12.2,36351.0,5.49
520,COMMERCIAL BANK NATIONAL STANDARD 2019,309160.0,23.35,45633.0,3.78
521,BANK OF CHINA (RUSSIA) 2015,403190.0,41.4,8282.0,0.91
522,INTERPROGRESSBANK CJSC 2020,431507.0,13.52,39798.0,5.27
525,COMMERCIAL BANK KOLTSO URALA OOO 2018,407466.0,25.0,31441.0,3.21
526,JOINT-STOCK COMMERCIAL BANK 'AGROPROMCREDIT' 2014,415032.0,13.5,54587.0,4.08
527,COMMERCIAL BANK ENERGOTRANSBANK ZAO 2017,358460.0,20.8,33939.0,6.01
529,JOINT-STOCK COMPANY 'BYSTROBANK' 2016,410179.0,16.3,75980.0,8.5
531,NS BANK ZAO 2019,377302.0,15.16,33247.0,3.76
532,EVROFINANCE MOSNARBANK OAO 2015,337799.0,25.16,49807.0,6.16
533,ALMAZERGIENBANK JSB 2019,388700.0,14.46,46097.0,8.2
536,JOINT-STOCK COMMERCIAL BANK SAROVBUSINESSBANK 2015,391450.0,23.7,56484.0,8.16
539,CREDIT URAL BANK 2016,403952.0,15.6,41310.0,5.92
540,PUBLIC JOINT-STOCK COMMERCIAL BANK PRIMORYE 2020,408328.0,12.57,20466.0,1.12
541,TATSOTSBANK 2020,343149.0,44.5,22881.0,7.3
542,BANK ICBC JOINT STOCK COMPANY 2012,338426.0,26.8,12861.0,1.83
543,ALEKSANDROVSKY BANK 2013,410756.0,12.7,39682.0,5.87
545,PUBLIC JOINT-STOCK COMMERCIAL BANK PRIMORYE 2018,415116.0,13.98,18510.0,0.4
548,DERZHAVA JSCB 2015,387540.0,12.6,34528.0,3.83
550,UNITED CAPITAL (JOINT-STOCK BANK) 2016,345730.0,33.9,21972.0,2.21
551,CREDIT URAL BANK 2018,367964.0,15.1,36237.0,5.69
552,COMMERCIAL BANK NATIONAL STANDARD 2016,369706.0,27.73,55287.0,3.08
553,COMMERCIAL BANK KOLTSO URALA OOO 2016,362740.0,17.5,59803.0,8.24
554,NS BANK ZAO 2018,350404.0,15.3,31653.0,4.05
555,JOINT-STOCK COMMERCIAL BANK 'ENERGOBANK' 2013,326199.0,41.1,54562.0,8.15
556,DERZHAVA JSCB 2020,252819.0,14.74,31487.0,3.79
558,ARES BANK 2018,397833.0,17.83,28146.0,5.63
559,JOINT-STOCK COMMERCIAL MORTGAGE BANK AKIBANK 2014,357269.0,16.46,43752.0,5.54
561,ARES BANK 2016,391361.0,17.97,24654.0,4.32
566,MERCEDES-BENZ BANK RUS LLC 2019,334174.0,18.93,48753.0,6.48
568,LANTA BANK 2020,387676.0,13.39,17105.0,4.54
571,PJSC 'PLUS-BANK 2013,341136.0,12.0,62961.0,8.84
572,JOINT-STOCK COMMERCIAL BANK SAROVBUSINESSBANK 2020,291219.0,20.3,41767.0,4.66
573,COMMERCIAL BANK KOLTSO URALA OOO 2015,344940.0,16.1,58330.0,4.9
574,COMMERCIAL BANK 'MOSKOMMERTSBANK' OPEN JOINT STOCK COMPANY 2014,284508.0,19.4,44892.0,5.95
575,COMMERCIAL BANK NATIONAL STANDARD 2020,240476.0,26.45,31222.0,3.45
576,PETERSBURG SOCIAL COMMERCIAL BANK 2017,357845.0,20.4,17415.0,2.24
577,NS BANK ZAO 2020,317797.0,17.42,23115.0,2.69
578,COMMERCIAL BANK NATIONAL STANDARD 2017,330092.0,28.29,38730.0,2.69
579,PJSC 'PLUS-BANK 2018,368715.0,8.5,60790.0,8.97
580,MERCEDES-BENZ BANK RUS LLC 2015,321405.0,22.3,55813.0,5.51
582,JOINT-STOCK COMPANY 'BYSTROBANK' 2015,334135.0,16.67,64714.0,6.95
583,JOINT STOCK COMMERCIAL BANK TOGLIATTIKHIMBANK ZAO 2015,346681.0,33.86,20636.0,5.32
586,PETERSBURG SOCIAL COMMERCIAL BANK 2018,348019.0,25.3,21964.0,4.95
587,ALMAZERGIENBANK JSB 2020,304612.0,15.77,37452.0,7.84
588,URALSKY FINANSOVY DOM 2017,336615.0,12.6,39862.0,6.41
589,OPEN JOINT STOCK COMPANY 'ST PETERSBURG INDUSTRIAL JOINT STOCK BANK' 2013,353512.0,12.3,42715.0,6.64
592,COMMERCIAL BANK ENERGOTRANSBANK ZAO 2016,268984.0,23.6,26129.0,6.16
593,THE KALUGA GAS AND ENERGY JOINT-STOCK BANK 'GAZENERGOBANK' 2014,359828.0,13.23,40880.0,7.7
595,DERZHAVA JSCB 2014,313317.0,11.87,23665.0,1.47
596,MERCEDES-BENZ BANK RUS LLC 2020,319494.0,13.25,37871.0,5.06
597,BMW BANK LLC 2016,310347.0,17.4,44113.0,7.01
599,JOINT-STOCK COMMERCIAL BANK 'AGROPROMCREDIT' 2016,322477.0,17.0,43359.0,4.06
600,MERCEDES-BENZ BANK RUS LLC 2017,317506.0,16.44,53948.0,8.69
601,UNITED CAPITAL (JOINT-STOCK BANK) 2015,318859.0,19.4,16205.0,2.54
602,BANK SGB OJSC 2015,341562.0,10.9,47691.0,4.63
604,JOINT-STOCK COMMERCIAL BANK 'AGROPROMCREDIT' 2017,292847.0,17.95,34081.0,3.64
606,NK BANK 2013,304249.0,19.08,40444.0,7.37
612,COMMERCIAL BANK ENERGOTRANSBANK ZAO 2014,234103.0,34.8,18927.0,3.68
614,BMW BANK LLC 2014,288450.0,15.7,49511.0,7.48
615,MERCEDES-BENZ BANK RUS LLC 2018,289041.0,17.17,44173.0,7.0
616,ALEKSANDROVSKY BANK 2017,322654.0,14.5,30861.0,5.81
617,PETERSBURG SOCIAL COMMERCIAL BANK 2016,311779.0,16.4,10150.0,0.2
619,KUBANSKY TORGOVY BANK ZAO 2014,343827.0,24.5,10841.0,8.61
620,BANK SOLIDARNOST 2018,268096.0,40.69,24334.0,2.6
621,NBD BANK 2019,261330.0,24.4,34047.0,6.9
622,J&T BANK 2017,230346.0,24.78,20319.0,2.93
625,JOINT-STOCK COMMERCIAL BANK 'AGROPROMCREDIT' 2015,297918.0,14.2,41712.0,3.71
626,"JSC CB ""ACCEPT 2019",297778.0,14.5,27744.0,4.47
628,JSC URI BANK 2020,305041.0,18.17,13053.0,2.96
629,COMMERCIAL BANK 'MOSKOMMERTSBANK' OPEN JOINT STOCK COMPANY 2015,238952.0,26.5,34110.0,3.78
630,J&T BANK 2019,208804.0,30.65,16736.0,2.62
633,JOINT-STOCK COMMERCIAL MORTGAGE BANK AKIBANK 2015,283336.0,17.56,40033.0,5.67
634,NBD BANK 2017,255384.0,26.9,37490.0,7.81
635,EKATERINBURG NATIONAL CITY BANK OAO 2013,311138.0,11.8,30967.0,5.63
639,J&T BANK 2016,200165.0,26.9,21492.0,3.31
640,PJSC 'PLUS-BANK 2015,281064.0,12.9,43544.0,5.94
642,BANK SOLIDARNOST 2017,209077.0,45.66,26631.0,3.11
643,TATSOTSBANK 2019,189646.0,43.5,26031.0,8.67
644,PJSC TIMER BANK 2015,312920.0,3.1,26127.0,3.68
647,DENIZBANK MOSCOW 2020,222027.0,20.36,16257.0,4.5
649,NBD BANK 2020,239147.0,21.9,28318.0,6.73
651,NBD BANK 2014,267291.0,19.2,34196.0,6.94
657,NBD BANK 2016,246368.0,24.5,38133.0,7.38
658,URALSKY FINANSOVY DOM 2015,278345.0,11.1,37547.0,5.1
660,ALEKSANDROVSKY BANK 2019,266597.0,14.2,27740.0,4.53
661,NK BANK 2012,223484.0,22.53,45360.0,9.6
663,KEB HNB BANK LLC 2019,295666.0,27.1,10461.0,1.64
664,JOINT-STOCK COMMERCIAL BANK 'AGROPROMCREDIT' 2019,239759.0,16.28,23556.0,3.04
666,URALSKY FINANSOVY DOM 2020,253308.0,14.1,25375.0,5.38
667,"JSC CB ""ACCEPT 2017",267626.0,14.94,28697.0,5.14
669,JOINT-STOCK COMMERCIAL BANK 'AGROPROMCREDIT' 2018,252917.0,15.82,26182.0,4.12
671,OAO COMMERCIAL BANK KHLYNOV 2016,255371.0,13.11,36484.0,7.84
672,NBD BANK 2018,228274.0,25.8,30205.0,7.64
674,MERCEDES-BENZ BANK RUS LLC 2016,232983.0,23.71,49216.0,6.56
675,COMMERCIAL BANK 'MOSKOMMERTSBANK' OPEN JOINT STOCK COMPANY 2020,168425.0,40.1,15949.0,3.87
676,DENIZBANK MOSCOW 2019,183745.0,22.3,18935.0,6.04
677,ARES BANK 2017,245142.0,20.22,33241.0,5.85
678,DERZHAVA JSCB 2018,188387.0,11.79,25119.0,2.73
680,BANK RESO CREDIT OJSC 2019,205709.0,18.9,11515.0,3.63
681,PJSC 'PLUS-BANK 2020,231727.0,12.2,54563.0,14.03
684,PETERSBURG SOCIAL COMMERCIAL BANK 2014,235796.0,19.1,15118.0,3.49
685,EVROSITIBANK 2013,235805.0,22.2,27541.0,6.53
687,"JSC CB ""ACCEPT 2018",244560.0,13.86,24626.0,5.25
689,BANK ORENBURG 2017,219975.0,19.15,28969.0,6.02
693,JOINT STOCK COMMERCIAL BANK TOGLIATTIKHIMBANK ZAO 2019,188529.0,38.88,20854.0,6.88
694,BANK SOLIDARNOST 2014,181715.0,12.7,33477.0,8.76
696,JOINT STOCK COMMERCIAL BANK TOGLIATTIKHIMBANK ZAO 2018,208702.0,23.68,19181.0,8.25
699,BANK RESO CREDIT OJSC 2020,180750.0,15.8,12454.0,3.47
702,J&T BANK 2020,161539.0,29.8,16516.0,3.72
703,HOME FINANCING BANK 2015,180081.0,19.51,31128.0,3.5
704,J&T BANK 2018,145265.0,30.7,17937.0,3.98
706,NBD BANK 2015,222572.0,19.8,32532.0,6.27
708,JOINT-STOCK COMMERCIAL BANK 'ENERGOBANK' 2016,189973.0,35.0,41625.0,10.41
710,JOINT-STOCK COMMERCIAL BANK 'AGROPROMCREDIT' 2020,226121.0,14.57,18787.0,4.71
714,PJSC 'PLUS-BANK 2014,219480.0,14.4,41956.0,10.29
716,PRIO-VNESHTORGBANK OAO 2019,227482.0,12.21,16301.0,4.09
718,BMW BANK LLC 2015,204625.0,19.1,32005.0,6.43
719,OAO COMMERCIAL BANK KHLYNOV 2014,222582.0,13.0,29835.0,7.24
720,"JSC CB ""ACCEPT 2020",215512.0,16.72,19861.0,4.46
721,BANK ORENBURG 2019,205534.0,18.3,20285.0,4.91
724,HOME FINANCING BANK 2016,122565.0,16.3,44612.0,6.08
725,HOME FINANCING BANK 2014,106528.0,25.91,30419.0,6.31
726,COMMERCIAL BANK 'MOSKOMMERTSBANK' OPEN JOINT STOCK COMPANY 2018,167167.0,35.8,14529.0,0.74
728,MARITIME BANK 2019,220169.0,11.6,21410.0,5.38
729,PETERSBURG SOCIAL COMMERCIAL BANK 2015,211292.0,16.2,9457.0,1.13
732,MARITIME BANK 2020,219580.0,11.4,17308.0,5.14
733,"JSC CB ""ACCEPT 2016",213222.0,14.9,28043.0,5.84
734,ALEKSANDROVSKY BANK 2020,206782.0,14.5,20840.0,4.53
735,NK BANK 2014,197430.0,21.59,25860.0,7.55
736,PRIO-VNESHTORGBANK OAO 2017,216835.0,12.27,25607.0,11.64
737,ALEKSANDROVSKY BANK 2016,210918.0,11.8,17554.0,5.24
738,"BANK FOR ELECTRIC POWER INDUSTRY, PUBLIC LIMITED COMPANY 2020",209108.0,11.47,31021.0,12.18
743,BELGORODSOTSBANK ZAO 2013,184093.0,19.3,21008.0,3.56
744,JOINT-STOCK COMMERCIAL BANK 'ENERGOBANK' 2020,155493.0,33.5,25401.0,8.05
745,BANK OF KAZAN LLC CBED 2017,201880.0,12.7,27640.0,5.8
750,JOINT-STOCK COMPANY DEVELOPMENT CAPITAL BANK 2014,115793.0,19.9,28245.0,9.36
751,COMMERCIAL BANK ENERGOTRANSBANK ZAO 2015,139270.0,28.0,20587.0,4.99
752,KEB HNB BANK LLC 2018,221942.0,24.3,8007.0,1.69
754,JSC-IB 'KS-BANK' 2017,213591.0,11.5,23217.0,7.46
755,HOME FINANCING BANK 2017,119941.0,18.2,39226.0,6.68
760,VORONEZH OOO 2017,131890.0,10.73,13734.0,2.78
761,JOINT STOCK COMMERCIAL BANK 'FORSHTADT' 2019,157376.0,18.0,23264.0,7.29
763,BANK OF KAZAN LLC CBED 2016,196903.0,10.1,25113.0,6.34
764,PRIO-VNESHTORGBANK OAO 2018,195601.0,13.35,15349.0,5.77
767,BANK ORENBURG 2018,176211.0,20.7,23034.0,6.5
769,CLOSED JOINT-STOCK COMPANY ISBANK 2016,128872.0,37.5,15407.0,5.02
770,J&T BANK 2015,119997.0,36.7,15973.0,4.12
771,NK BANK 2015,185715.0,20.17,21693.0,7.14
772,MARITIME BANK 2017,187027.0,14.0,28726.0,9.17
773,OAO COMMERCIAL BANK KHLYNOV 2015,188611.0,12.9,28283.0,7.57
774,BANK ORENBURG 2020,174296.0,20.44,18558.0,6.07
775,JOINT-STOCK COMMERCIAL BANK 'ENERGOBANK' 2015,161450.0,38.1,31281.0,9.7
776,JOINT STOCK COMMERCIAL BANK TOGLIATTIKHIMBANK ZAO 2016,139876.0,38.31,24832.0,6.41
777,NATSIONALNY INVESTITSIONNO-PROMYSHLENNY 2018,163327.0,19.9,14797.0,4.51
778,PRIO-VNESHTORGBANK OAO 2020,190492.0,11.38,13192.0,4.38
779,MARITIME BANK 2016,186881.0,10.6,33149.0,5.93
781,JOINT-STOCK COMPANY DEVELOPMENT CAPITAL BANK 2020,112190.0,31.7,16679.0,8.67
782,BANK OF KAZAN LLC CBED 2019,168997.0,13.8,20787.0,7.17
785,SBI BANK LLC 2020,112395.0,26.75,17763.0,6.76
787,MARITIME BANK 2018,178020.0,12.2,19679.0,7.44
789,JSC-IB 'KS-BANK' 2019,195256.0,8.53,18531.0,6.22
790,JSC-IB 'KS-BANK' 2016,188981.0,10.8,23092.0,6.52
791,HOME FINANCING BANK 2019,138399.0,15.89,26056.0,7.35
797,OPEN JOINT STOCK COMPANY COMMERCIAL BANK POIDEM 2018,159667.0,12.1,66133.0,29.7
799,PRIO-VNESHTORGBANK OAO 2016,180947.0,11.09,23359.0,9.6
803,BANK OF KAZAN LLC CBED 2018,160510.0,13.1,22301.0,7.92
804,ORENBURG NEW INVESTMENT-COMMERCIAL BANK OF INDUSTRIAL DEVELOPMENT OAO 2019,166909.0,15.06,18421.0,5.4
806,MUNITSIPALNY KAMCHATPROFITBANK 2013,164752.0,11.7,20782.0,8.68
808,OPEN JOINT STOCK COMPANY COMMERCIAL BANK POIDEM 2020,134712.0,12.0,61869.0,28.32
809,JOINT STOCK COMMERCIAL BANK TOGLIATTIKHIMBANK ZAO 2017,114568.0,40.25,25112.0,11.23
810,JOINT STOCK COMMERCIAL BANK 'FORSHTADT' 2020,139193.0,17.7,19011.0,6.87
811,"JSC CB ""ACCEPT 2015",169071.0,13.2,24084.0,5.91
812,ALEKSANDROVSKY BANK 2014,164482.0,14.7,18056.0,5.33
813,NATSIONALNY INVESTITSIONNO-PROMYSHLENNY 2019,141626.0,24.0,14030.0,4.19
814,HOME FINANCING BANK 2020,153545.0,15.82,23379.0,6.0
817,INBANK LTD 2015,159858.0,12.8,17832.0,4.49
818,CLOSED JOINT-STOCK COMPANY ISBANK 2015,112875.0,38.43,17055.0,6.9
819,JOINT-STOCK COMPANY DEVELOPMENT CAPITAL BANK 2015,86181.0,19.9,23670.0,11.35
821,JOINT-STOCK COMPANY DEVELOPMENT CAPITAL BANK 2019,55521.0,31.3,21873.0,13.32
822,JSC-IB 'KS-BANK' 2018,168158.0,10.0,16720.0,6.53
824,NATSIONALNY INVESTITSIONNO-PROMYSHLENNY 2020,115421.0,17.3,10053.0,3.02
825,MIR BUSINESS BANK ZAO 2014,123508.0,38.7,8571.0,6.56
826,PROMTRANSBANK LTD 2018,173213.0,9.0,14217.0,5.61
828,PROMTRANSBANK LTD 2020,169219.0,14.2,15081.0,4.66
829,JOINT STOCK COMMERCIAL BANK 'FORSHTADT' 2018,132195.0,22.4,21902.0,7.75
830,"JSC ""AKTIV BANK 2013",154694.0,13.8,17445.0,6.39
834,CLOSED JOINT-STOCK COMPANY 'KOSHELEV-BANK' 2015,144576.0,19.52,13588.0,6.03
838,PROMTRANSBANK LTD 2019,165640.0,11.37,20599.0,5.18
839,SEVERNY NARODNY BANK OAO 2013,147904.0,17.2,16012.0,7.07
842,HOME FINANCING BANK 2018,101371.0,17.59,26027.0,8.18
843,JSC-IB 'KS-BANK' 2014,155084.0,10.8,16416.0,5.32
845,BANK SNEZHINSKIY PJSC 2019,125902.0,15.96,14473.0,6.57
849,BANK OF KAZAN LLC CBED 2020,129952.0,13.3,13725.0,6.12
851,CORPORATE FINANCE BANK LLC 2019,141436.0,15.77,16167.0,8.0
854,"BANK FOR ELECTRIC POWER INDUSTRY, PUBLIC LIMITED COMPANY 2014",130094.0,15.8,15808.0,6.53
