,name,DepositsAndShort-termFinancing,CAR,InterestIncome,NIM
64,PROMSVYAZBANK PUBLIC JOINT-STOCK COMPANY 2013,18314227.0,13.45,2021284.0,4.73
67,BM-BANK JSC 2015,13834559.0,17.1,2420327.0,2.75
68,UNICREDIT BANK AO 2017,15473490.0,20.0,1844080.0,3.73
70,PUBLIC JOINT-STOCK COMPANY ROSBANK 2014,12870238.0,19.7,1598375.0,5.5
71,PROMSVYAZBANK PUBLIC JOINT-STOCK COMPANY 2016,17152623.0,13.35,1698108.0,2.51
72,SOVCOMBANK OJSC 2020,15634018.0,15.6,1801919.0,6.79
73,UNICREDIT BANK AO 2019,14996289.0,20.0,1876649.0,3.34
74,PUBLIC JOINT-STOCK COMPANY ROSBANK 2019,14364607.0,21.6,1481301.0,4.4
75,UNICREDIT BANK AO 2018,15403549.0,18.9,1570287.0,3.36
77,UNICREDIT BANK AO 2016,14873714.0,19.3,1936364.0,3.68
78,UNICREDIT BANK AO 2015,14739542.0,12.9,1782883.0,3.03
79,PROMSVYAZBANK PUBLIC JOINT-STOCK COMPANY 2014,15056916.0,12.88,1412927.0,4.07
80,PUBLIC JOINT-STOCK COMPANY ROSBANK 2020,13632548.0,22.5,1171617.0,4.19
81,SOVCOMBANK OJSC 2019,14602678.0,14.7,1649606.0,5.84
82,PUBLIC JOINT-STOCK COMPANY ROSBANK 2017,12657699.0,21.0,1426922.0,4.63
83,DOM.RF JOINT STOCK COMPANY 2020,4310606.0,28.1,1032762.0,2.11
84,UNICREDIT BANK AO 2020,13187468.0,23.5,1225228.0,3.36
86,PROMSVYAZBANK PUBLIC JOINT-STOCK COMPANY 2015,13796072.0,14.42,1419088.0,2.73
87,PUBLIC JOINT-STOCK COMPANY ROSBANK 2018,12199175.0,21.6,1210555.0,4.52
88,CREDIT BANK OF MOSCOW 2015,13547753.0,16.5,1224029.0,3.51
93,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2012",12178008.0,13.59,1093120.0,3.94
95,PUBLIC JOINT-STOCK COMPANY ROSBANK 2016,9145175.0,20.9,1429648.0,4.69
96,SOVCOMBANK OJSC 2018,11440350.0,13.8,1258417.0,6.33
97,CREDIT BANK OF MOSCOW 2013,9588877.0,14.8,1283652.0,4.98
98,PUBLIC JOINT-STOCK COMPANY ROSBANK 2015,9480919.0,20.6,1282321.0,3.97
100,DOM.RF JOINT STOCK COMPANY 2017,6656886.0,15.4,612359.0,3.58
101,BANK SAINT-PETERSBURG PJSC 2013,9889282.0,14.31,942019.0,3.86
102,AO RAIFFEISENBANK 2016,9253500.0,26.28,1510212.0,5.88
103,SOVCOMBANK OJSC 2017,9878472.0,16.5,1193103.0,5.55
105,BANK SAINT-PETERSBURG PJSC 2012,9055863.0,13.79,900847.0,3.86
107,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2013",9620771.0,11.6,1111408.0,5.1
109,DOM.RF JOINT STOCK COMPANY 2018,5391101.0,16.5,880833.0,2.69
110,HOME CREDIT AND FINANCE BANK 2013,8349211.0,23.5,2765390.0,19.19
111,BANK SAINT-PETERSBURG PJSC 2019,9294750.0,17.38,783346.0,3.73
112,AK BARS BANK 2013,7333101.0,14.48,877311.0,2.58
113,BANK SAINT-PETERSBURG PJSC 2017,9025647.0,16.73,818919.0,3.75
114,CREDIT BANK OF MOSCOW 2014,7123373.0,15.8,1032887.0,5.37
115,CREDIT BANK OF MOSCOW 2012,7381557.0,15.8,937234.0,5.01
116,BANK SAINT-PETERSBURG PJSC 2020,8307470.0,16.21,587872.0,4.0
117,BANK SAINT-PETERSBURG PJSC 2018,8331433.0,17.2,662706.0,3.69
118,BANK SAINT-PETERSBURG PJSC 2016,8181706.0,16.25,854838.0,4.19
120,SOVCOMBANK OJSC 2016,7791941.0,16.0,1046493.0,5.61
121,BANK SAINT-PETERSBURG PJSC 2014,7306970.0,13.32,688969.0,4.41
123,AO CITIBANK 2020,8041442.0,14.6,389370.0,3.88
124,"SMP BANK, LIMITED LIABILITY COMPANY 2017",7177817.0,13.0,804807.0,1.45
126,BANK ZENIT PJSC 2013,6976834.0,15.7,715714.0,3.36
127,AO CITIBANK 2019,7761925.0,14.2,524613.0,4.97
128,AK BARS BANK 2019,7212292.0,17.87,571676.0,3.02
129,"PUBLIC JOINT STOCK COMPANY ""BANK URALSIB' 2017",6351193.0,8.4,677260.0,4.78
130,BANK ZENIT PJSC 2012,6089928.0,15.0,682787.0,3.48
131,AO CITIBANK 2017,6962833.0,15.2,558554.0,6.26
132,"SMP BANK, LIMITED LIABILITY COMPANY 2016",6125829.0,12.2,742008.0,2.12
133,AO CITIBANK 2018,6966262.0,14.6,452744.0,5.78
