,index,BankYear,CAMELS_Index,TotalAssets,Equity,DepositsAndShortFunding,OtherNIB,GrossLoans,NIR,OperatingIncome,NI,NFC,Score
1554,16288,COFIDIS PARTICIPATIONS SA 2012,0.24520234038715252,12760024.0,1544527.0,8093575.0,267222.0,12183554.0,1119558.0,1388188.0,136625.0,259870.0,0.660501
1555,34545,NUMAZU SHINKIN BANK 2019,0.23028933596886647,5244471.0,327084.0,4857535.0,41279.0,2040708.0,60578.0,70249.0,9133.0,2224.0,0.170176
1556,8716,BANQUE BCP SAS 2003,0.2318836719200074,2589586.0,140616.0,2337754.0,64702.0,1294677.0,65707.0,106809.0,15818.0,40643.0,0.211579
1557,28223,JOINT STOCK COMPANY ALFA-BANK 2012,0.23568422024027566,46160985.0,4336464.0,35270605.0,450000.0,32693103.0,1856000.0,2157592.0,936192.0,490335.0,0.99773
1558,10665,BNP PARIBAS WEALTH MANAGEMENT SA 2006,0.22456509418638437,25285142.0,379628.0,27280860.0,297298.0,6373589.0,47680.0,242323.0,-23396.0,115509.0,0.19864
1559,41280,SPARKASSE RHEIN-HAARDT 2013,0.2264173925614812,5159303.0,407036.0,4675734.0,9833.0,3432606.0,85712.0,114889.0,12615.0,22692.0,0.535593
1560,22025,FEDERAL HOME LOAN BANK OF CHICAGO 2020,0.22944508694667987,100356000.0,6289000.0,1284000.0,779000.0,56736000.0,595000.0,699000.0,374000.0,54000.0,0.598614
1561,28840,"KAGAWA BANK, LTD. 2010",0.2327735588968065,16145254.0,970292.0,13748221.0,147307.0,10117642.0,232055.0,251397.0,39501.0,13925.0,0.362829
1562,43238,"THE BANK ""IBA-MOSCOW"" LIMITED LIABILITY COMPANY 2010",0.2444520836501628,111409.0,85871.0,802409.0,3921.0,808969.0,34330.0,43140.0,7280.0,5165.0,0.759682
1563,3825,BANCA FINANZIARIA INTERNAZIONALE S.P.A. 2008,0.20359140292727318,526322.0,6802.0,13711.0,1930.0,4387.0,292.0,2254.0,-8091.0,1726.0,0.072236
1564,40301,SPARKASSE ARNSTADT-ILMENAU 2005,0.22694180033047473,1308893.0,146990.0,1306565.0,1327.0,539931.0,35401.0,50267.0,2065.0,10327.0,0.828567
1565,27055,INVESTITIONS- UND FOERDERBANK NIEDERSACHSEN NBANK 2007,0.22545495931802204,4116277.0,203830.0,3067854.0,4466785.0,327695.0,2354.0,58878.0,422.0,19028.0,0.052837
1566,47608,WINTRUST FINANCIAL CORPORATION 2014,0.2279748888274811,20032400.0,2069827.0,17196770.0,136066.0,15011590.0,598575.0,816145.0,151398.0,90251.0,0.498288
1567,17314,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE ASSOCIADOS CELEIRO 2020,0.22992113222274344,168251.0,21539.0,98442.0,47137.0,155856.0,13949.0,21155.0,3629.0,6266.0,0.196939
1568,44193,"TIAA FSB HOLDINGS, INC 2006",0.24934700232963666,26601000.0,1451176.0,14150990.0,359027.0,14593150.0,519816.0,883760.0,74042.0,-4426.0,0.406663
1569,24757,HAWAIIAN ELECTRIC INDUSTRIES INC 2008,0.22616682422574164,13099800.0,1593861.0,4554017.0,2578169.0,3805595.0,106022.0,3295852.0,138651.0,20020.0,0.819839
1570,8640,BANKINTER SA 2003,0.23423724673552018,4134.0,4263109.0,53582605.0,1275989.0,56751705.0,871140.0,1757268.0,164468.0,215792.0,2.127637
1571,39329,SICOOB UNIMAIS MANTIQUEIRA - COOPERATIVA DE CREDITO 2008,0.23100231542764474,81463.0,14012.0,69674.0,1004.0,10146.0,7494.0,9908.0,2403.0,1916.0,0.498185
1572,33205,NATIOCREDIBAIL SA 2005,0.2369342200400856,3146871.0,83032.0,2647503.0,85033.0,80537.0,171013.0,191800.0,5329.0,-1804.0,0.214657
1573,3766,BANCA DI SASSARI SPA 2016,0.22579561660818548,566226.0,280848.0,106757.0,43383.0,275244.0,29805.0,90699.0,21821.0,29082.0,0.230314
1574,15950,CLOSE BROTHERS LIMITED 2012,0.23852132997789063,8678279.0,748379.0,6406946.0,571598.0,6582159.0,440149.0,581323.0,159683.0,100234.0,0.508819
1575,46845,VOLKSWAGEN FINANCIAL SERVICES (UK) LTD 2018,0.22735214026922068,20408819.0,1912627.0,1599112.0,631027.0,16203630.0,-282449.0,1508513.0,379019.0,-96445.0,0.794125
1576,37080,RASMALA UK LIMITED 2008,0.2273351361636616,100723.0,209104.0,21410.0,22439.0,62580.0,1887.0,16766.0,-46.0,5194.0,0.105862
1577,38183,SANTANDER CONSUMER FINANCE 2014,0.2304278640808244,85997162.0,9285378.0,59275006.0,2299601.0,72971148.0,2691371.0,3884946.0,837540.0,986072.0,0.619683
1578,11754,CAISSE FEDERALE DU CREDIT MUTUEL NORD EUROPE 2003,0.23289623070716373,51587352.0,2897196.0,20650167.0,16982868.0,21084651.0,549958.0,1224459.0,206464.0,160004.0,0.337145
1579,16516,COMMERCIAL BANK AGORA 2010,0.25964355393305266,20181.0,6804.0,30847.0,126.0,15761.0,2509.0,3142.0,353.0,500.0,0.775114
1580,41061,SPARKASSE NEU-ULM-ILLERTISSEN 2009,0.22832292105123397,2294491.0,223366.0,2322122.0,3781.0,1665663.0,53901.0,73323.0,5365.0,15669.0,0.64186
1581,42349,STRADIM ESPACE FINANCES SA 2020,0.22465994905720432,294721.0,33966.0,2532.0,243371.0,91377.0,-229.0,142796.0,3446.0,14632.0,0.835765
1582,10419,BMW BANK GMBH 2020,0.2249009809835176,35252366.0,4341167.0,21871010.0,8631114.0,16786598.0,608017.0,6766279.0,0.0,-136520.0,0.921898
1583,13509,CANADIAN WESTERN TRUST COMPANY 2016,0.23054056712887802,2353265.0,142320.0,2192044.0,18855.0,1703228.0,53742.0,64203.0,35015.0,9658.0,0.303423
1584,46731,VOLKSBANK RAIFFEISENBANK WUERZBURG EG 2020,0.22811973422239562,2589257.0,262057.0,2307304.0,8879.0,1731589.0,38537.0,64263.0,3632.0,18826.0,0.305699
1585,3549,BANCA DI CREDITO COOPERATIVO LAUDENSE - LODI 2017,0.23347847010041275,451737.0,41271.0,312661.0,6522.0,275413.0,6407.0,13421.0,315.0,2587.0,0.128061
1586,31763,MEDIOCREDITO TRENTINO-ALTO ADIGE SPA 2014,0.2430473169594727,2125862.0,230878.0,1156569.0,12164.0,1548103.0,23960.0,34767.0,1683.0,143.0,0.18286
1587,43019,TD AMERITRADE HOLDING CORPORATION 2013,0.22919883207325853,21836000.0,4676000.0,515000.0,14135000.0,1952115.0,444000.0,2796000.0,675000.0,2225000.0,0.875123
1588,29276,KITAMI SHINKIN BANK 2003,0.23236835391164787,5268933.0,429177.0,4805980.0,29729.0,2170558.0,66296.0,76733.0,10355.0,4382.0,0.195548
1589,32924,MUKESH BABU FINANCIAL SERVICES LIMITED 2018,0.22763950385808776,17195.0,11614.0,5417.0,29.0,6730.0,18.0,1429.0,666.0,13359.5,1.310638
1590,2309,BANCA ALTA TOSCANA CREDITO COOPERATIVO 2019,0.2322959441650955,1507005.0,92996.0,1330485.0,31759.0,1277443.0,22286.0,42702.0,3338.0,11511.0,0.176087
1591,23891,GF FINANCIAL MARKETS (UK) LIMITED 2009,0.22797503470508615,246366.0,124596.0,25000.0,1158603.0,1482765.0,-7792.0,63298.0,13507.0,9902.0,0.424758
1592,41002,SPARKASSE MEMMINGEN- LINDAU- MINDELHEIM 2017,0.2262131719474145,4852416.0,487556.0,4286203.0,5370.0,2869969.0,66210.0,121421.0,12689.0,33311.0,0.619368
